TE,Saprobic_Hyphae,Parasitic_Spherules,Sph+1,Exp_Sph,Species
All genes,22.2,10.09,11.09,3.47118746,C.immitis
All genes,16.51,12.13,13.13,3.714795011,C.immitis
All genes,2.28,2.62,3.62,1.855989697,C.immitis
All genes,37.65,24.18,25.18,4.654206378,C.immitis
All genes,2.27,8.99,9.99,3.320484678,C.immitis
All genes,21.45,8.24,9.24,3.207892852,C.immitis
All genes,37.86,30.42,31.42,4.973611276,C.immitis
All genes,34.28,10.93,11.93,3.576522138,C.immitis
All genes,1438.3,1315.01,1316.01,10.36195474,C.immitis
All genes,969.76,684.66,685.66,9.421349551,C.immitis
All genes,62.24,37.24,38.24,5.257010618,C.immitis
All genes,1.38,2.31,3.31,1.726831217,C.immitis
All genes,7.87,3.56,4.56,2.189033824,C.immitis
All genes,133.31,90.02,91.02,6.508111681,C.immitis
All genes,238.76,117.82,118.82,6.892633883,C.immitis
All genes,25.12,15.53,16.53,4.04701482,C.immitis
All genes,94.89,91.95,92.95,6.53838296,C.immitis
All genes,20.68,24.67,25.67,4.682011391,C.immitis
All genes,57.77,7.73,8.73,3.125981654,C.immitis
All genes,70.07,3.98,4.98,2.316145742,C.immitis
All genes,832.23,821.77,822.77,9.684345381,C.immitis
All genes,73.52,133.04,134.04,7.066519781,C.immitis
All genes,4.8,6.3,7.3,2.867896464,C.immitis
All genes,2.06,2.38,3.38,1.757023247,C.immitis
All genes,28.25,22.81,23.81,4.573495715,C.immitis
All genes,842.74,704.31,705.31,9.462113684,C.immitis
All genes,53.85,53.99,54.99,5.781097381,C.immitis
All genes,6.32,4.38,5.38,2.427606173,C.immitis
All genes,111.21,9.33,10.33,3.368768349,C.immitis
All genes,289.51,336.9,337.9,8.40045254,C.immitis
All genes,640.43,530.47,531.47,9.053844448,C.immitis
All genes,33.68,33.55,34.55,5.110613806,C.immitis
All genes,6.53,22.89,23.89,4.578334949,C.immitis
All genes,0.97,2.63,3.63,1.859969548,C.immitis
All genes,36.79,38.55,39.55,5.30560579,C.immitis
All genes,46.22,84.8,85.8,6.422905743,C.immitis
All genes,20.58,27.14,28.14,4.814550423,C.immitis
All genes,58.58,100.24,101.24,6.661635602,C.immitis
All genes,77.94,76.72,77.72,6.280213996,C.immitis
All genes,23.08,20.14,21.14,4.401903472,C.immitis
All genes,870.99,1164.99,1165.99,10.1873397,C.immitis
All genes,35.67,41.71,42.71,5.416501993,C.immitis
All genes,79.1,104.28,105.28,6.718087584,C.immitis
All genes,30.22,28.74,29.74,4.894332742,C.immitis
All genes,20.96,8.26,9.26,3.211012193,C.immitis
All genes,40.13,21.91,22.91,4.517905554,C.immitis
All genes,73.21,43.06,44.06,5.46139759,C.immitis
All genes,14.23,14.76,15.76,3.97819563,C.immitis
All genes,4.05,7.57,8.57,3.099295204,C.immitis
All genes,12.42,28.27,29.27,4.871350841,C.immitis
All genes,21.13,50.51,51.51,5.686780635,C.immitis
All genes,28.13,28.07,29.07,4.861459166,C.immitis
All genes,100.73,77.19,78.19,6.288912203,C.immitis
All genes,70.06,77.22,78.22,6.289465631,C.immitis
All genes,21.53,31.93,32.93,5.041330607,C.immitis
All genes,23.55,22.96,23.96,4.582556003,C.immitis
All genes,53.27,85.91,86.91,6.44145028,C.immitis
All genes,83.98,57.33,58.33,5.866166169,C.immitis
All genes,35.67,47.38,48.38,5.596338864,C.immitis
All genes,32.74,30.72,31.72,4.987320866,C.immitis
All genes,58.62,35.82,36.82,5.202417722,C.immitis
All genes,434.12,450.11,451.11,8.817335457,C.immitis
All genes,71.87,24.5,25.5,4.672425342,C.immitis
All genes,13.66,13.62,14.62,3.869871406,C.immitis
All genes,26.07,18.3,19.3,4.270528942,C.immitis
All genes,175.96,103.04,104.04,6.700994494,C.immitis
All genes,10.27,10.93,11.93,3.576522138,C.immitis
All genes,24.81,40.38,41.38,5.37086174,C.immitis
All genes,41.21,12.31,13.31,3.734438666,C.immitis
All genes,26.77,15.62,16.62,4.054848477,C.immitis
All genes,21.85,20.23,21.23,4.408032466,C.immitis
All genes,1.76,7.14,8.14,3.025028794,C.immitis
All genes,54.05,95.91,96.91,6.598573638,C.immitis
All genes,157.16,92.27,93.27,6.543341212,C.immitis
All genes,2.17,5.45,6.45,2.689299161,C.immitis
All genes,129.38,70.57,71.57,6.161283075,C.immitis
All genes,54.35,28.33,29.33,4.874305166,C.immitis
All genes,43.98,40.55,41.55,5.376776572,C.immitis
All genes,15.87,23.08,24.08,4.589763487,C.immitis
All genes,30.6,37.72,38.72,5.275007047,C.immitis
All genes,29.62,58.47,59.47,5.894090171,C.immitis
All genes,7.09,2.29,3.29,1.718087584,C.immitis
All genes,2.42,2.89,3.89,1.959770155,C.immitis
All genes,4.71,17.25,18.25,4.189824559,C.immitis
All genes,169.75,176.4,177.4,7.470862199,C.immitis
All genes,48.57,14.08,15.08,3.914564523,C.immitis
All genes,107.31,109.4,110.4,6.786596362,C.immitis
All genes,63.01,36.49,37.49,5.228433921,C.immitis
All genes,54.22,76.59,77.59,6.277798821,C.immitis
All genes,1161.84,842.63,843.63,9.720466589,C.immitis
All genes,17.87,16.5,17.5,4.129283017,C.immitis
All genes,38.58,13.06,14.06,3.813524689,C.immitis
All genes,44.89,28.76,29.76,4.895302621,C.immitis
All genes,41.72,74.46,75.46,6.237640195,C.immitis
All genes,0.93,5.34,6.34,2.66448284,C.immitis
All genes,18.54,20.92,21.92,4.454175893,C.immitis
